strong	lemma	description_en	description_ja
4923	συνοδία	1 συνοδία, -ας, ἡ     [in LXX: Ne 7:5, 64 (יחשׂ) * ;]     a journey in company (Plut., al.).    By meton., a company of travellers, a caravan: Lk 2:44.†	【語義】共にあずかる者：属格物を伴って：エペ 3:6；属格人称を伴って：エペ 5:7。
4924	συνοικέω	1 συν-οικέω, -ῶ     [in LXX for בּעל etc. ;]     to dwell together: of man and wife (Hdt., al.), c. dat. pers., I Pe 3:7,†	【語義】共に倣う者：属格目的語を伴って：ピリ 3:17。
4925	συνοικοδομέω	1 ** συν-οικοδομέω, -ῶ     [in LXX: I Es 5:68 * ;]     to build together or with (c. dat. pers., I Es, l.c.).    Of various materials, to build up together (Thuc., al.): metaph., of Christians, Eph 2:22.†	【語義】共に旅をする：与格人称を伴って：使 9:7。
4926	συνομιλέω	1 * συν-ομιλέω, -ῶ    to converse with (absol., FlJ, BJ, v, 13, 1; seq. μετά, Cebes, 13): c. dat. pers., Ac 10:27.†	【語義】共に旅をすること。換喩的に、旅の一団、隊商：ルカ 2:44。
4927	συνομορέω	1 *† συν-ομορέω, -ῶ    to border on: c. dat., Ac 18:7 (Byz.).†	【語義】共に住む：夫婦について、与格人称を伴って：ペテ一 3:7。
4928	συνοχή	2 συν-οχή, -ῆς, ή    (< συνέχω),    [in LXX: Jg 2:3 (?), Jb 30:3 (שׁוֺאָה), ib. 38:28 A; Mi 5:1 (4:14), Je 52:5 (מָצוֹר) * ;]    a holding or being held together.    a narrow place (Hom., al.). Metaph., straits, distress: Lk 21:25; καρδίας, II Co 2:4.†	【語義】共に建てる、一緒に組み立てる：比喩的に、キリスト者について：エペ 2:22。
4834	συνπαθέω	2 ** συν-παθέω    (Rec. συμπ-), -ῶ,    [in LXX: IV Mac 5:25 AR 13:23 * ;]     to have a fellow feeling for or with, sympathize with or in: c. dat. rei, He 4:15; dat. pers., ib. 10:34 (Arist., Plut., al.).†	【語義】共に語り合う：与格人称を伴って：使 10:27。
4836	συνπαραγίνομαι	1 συν-παρα-γίνομαι    (Rec. συμπ-),    [in LXX: Ps 82 (83):8 (לוה ni.) * ;]     to come up or be present together: seq. ἐπί, Lk 23:48.    to come up to assist (Thuc., al.; II Ti 4:16, Rec.).†	【語義】境を接する、隣り合う：与格を伴って：使 18:7。
4837	συνπαρακαλέω	1 * συν-παρα-καλέω (Rec. συμπ-), -ῶ,    to call upon or exhort together (Plat.). Pass., to be strengthened or comforted with and among: Ro 1:12.†	【語義】（< συνέχω）一つに保たれること。狭い場所。比喩的に「苦しみ、苦悩」：ルカ 21:25；καρδίας「心の苦悩」：コリ二 2:4。
4838	συνπαραλαμβάνω	4 συν-παρα-λαμβάνω    (Rec. συμπ-),    [in LXX: Ge 19:17 (ספה ni.), Jb 1:4 (שׁלח), III Mac 1:1 * ;]    to take along with: as a companion, c. acc., Ac 12:25 15:37, 38 (on the tenses, v. M, Pr., 130), Ga 2:1.†	【語義】共に思いを寄せる、同情する：与格物を伴って：ヘブ 4:15；与格人称を伴って：ヘブ 10:34。
4840	συνπάρειμι	1 συν-πάρειμι    (Rec. σνμπ-),    [in LXX: To 12:12 ΑΒ, Pr 8:27 (?), Wi 9:10 * ;]     to be present together or with: c. dat. pers., Ac 25:24.†	【語義】共に来る、共に居合わせる：ἐπί を伴って：ルカ 23:48。助けに来る、という意味も持つ。
4841	συνπάσχω	2 ** συν-πάσχω    (Rec. συμπ-),    [in Al.: I Ki 22:8 * ;]    to suffer together or with: Ro 8:17, I Co 12:26.    to sympathize with (Plat., Arist.).†	【語義】共に勧め合う。受動「共に励まされ、慰められる」：ロマ 1:12。
4842	συνπέμπω	2 * συν-πέμπω (Rec. συμπ-)    to send together with: c. acc. et dat., II Co 8:22; id. seq. μετά, c. gen., ib. 18.†	【語義】同行者として連れて行く：使 12:25、15:37、38、ガラ 2:1。
4843	συνπεριλαμβάνω	1 συν-περι-λαμβάνω (Rec. συμπ-),    to enclose (Ez 5:3 (צוּר) *).    to embrace: c. acc. pers., Ac 20:10.†	【語義】共に居合わせる：与格人称を伴って：使 25:24。
4845	συνπληρόω	3 συν-πληρόω    (Rec. συμπ-), -ῶ,    [in LXX: Je 25:12 (מָלֵא) * ;]    to fill up completely (Thuc., of manning ships): of a ship filling with water, and by meton., of those on board, Lk 8:23.    to complete, fulfil: of time (Je, l.c., and v. MM, xxiv), Lk 9:51, Ac 2:1 (on the "durative inf.," v. M, Pr., 233).†	【語義】共に苦しみを受ける：ロマ 8:17、コリ一 12:26。共に同情するという意味も持つ。
4846	συνπνίγω	5 * συν-πνίγω (Rec. συμπ-),    to choke: of thronging by a crowd, Lk 8:42. Fig., of seed, τ. λόγον, Mt 13:22, Mk 4:7, 19, Lk 8:14.†	【語義】共に送る：acc.＋与格を伴って：コリ二 8:22；μετά＋属格を伴って：コリ二 8:18。
4847	συνπολίτης	1 * συν-πολίτης (Rec. σνμπ-), -ου, ὁ    a fellow-citizen: pl., σ. τ. ἁγίων, opp. to ξένοι κ. πάροικοι, Eph 2:19 (Eur.; C.I., 6446; condemned by Atticists; v. Rutherford, NPhr., 255 f.).†	【語義】取り囲む。抱きしめる：acc. 人称を伴って：使 20:10。
4848	συνπορεύομαι	4 συν-πορεύομαι    (Rec. σνμπ-),    [in LXX chiefly for הלךְ ;]     to journey together (Plat., al.): c. dat. pers., Lk 7:11 14:25 24:15.    to come together: Mk 10:1 (Plut., al.).†	【語義】すっかり満たす：船が水で満ちることについて：ルカ 8:23。満たし終える、満ちる（時について）：ルカ 9:51、使 2:1。
4850	συνπρεσβύτερος	1 *† συν-πρεσβύτερος (Rec. συμπ-), -ου, ὁ    a fellow-elder: I Pe 5:1 (Eccl.).†	【語義】押しつぶす、息詰まらせる：群衆が押し迫ることについて：ルカ 8:42。比喩的に、種について、τ. λόγον「みことばを」：マタ 13:22、マコ 4:7、19、ルカ 8:14。
4954	σύνσωμος	1 *† σύν-σωμος (Rec. συσσ-), -ον     (< σῶμα),     of the same body: Eph 3:6 (Eccl.).†	【語義】同じ市民、同胞市民：複数形、σ. τ. ἁγίων「聖徒たちと同じ市民」（ξένοι κ. πάροικοι「外国人や寄留者」と対比）：エペ 2:19。
4957	συνσταυρόω	5 * συν-σταυρόω (Rec. συσ-), -ῶ,    to crucify together with: pass., c. dat., Jo 19:32; id. seq. σύν, Mt 27:44, Mk 15:32. Metaph., of the mystical death of the Christian with Christ: Ro 6:6, Ga 2:20 (Eccl.).†	【語義】共に旅する：与格人称を伴って：ルカ 7:11、14:25、24:15。共に来る、集まる：マコ 10:1。
4958	συνστέλλω	2 συν-στέλλω    (Rec. συσ-),    [in LXX: Jg 8:28 11:33 (כּנע ni.), Si 4:31, al. ;]    to draw together, contract, shorten: of time, I Co 7:29.    to wrap up: of enshrouding a body for burial (Eur.), c. acc., Ac 5:6.†	【語義】長老仲間：ペテ一 5:1。
4959	συνστενάζω	1 * συν-στενάζω (Rec. συσ-),    to groan together or with: Ro 8:22 (c. dat. pers., Eur., Ion., 935).†	【語義】（< σῶμα）同じ体に属する：エペ 3:6。
4960	συνστοιχέω	1 *† συν-στοιχέω (Rec. συσ-), -ῶ,    to stand in the same rank or line (Polyb). Metaph., to correspond to: Ga 4:25 (v. Lft., in l.).†	【語義】共に十字架にかける：受動、与格を伴って：ヨハ 19:32；σύν を伴って：マタ 27:44、マコ 15:32。比喩的に、キリストと共にする信者の神秘的な死について：ロマ 6:6、ガラ 2:20。
4961	συνστρατιώτης	2 * συν-στρατιώτης (Rec. συσ-), -ου, ὁ    a fellow-soldier (Plat., Xen., al.). Metaph., of fellowship in Christian service: Phl 2:25, Phm 2 .†	【語義】引き縮める、短くする：時について：コリ一 7:29。包む：遺体を葬りのために包むことについて：使 5:6。
4964	συνσχηματιζω	2 * συν-σχηματιζω (Rec. συσ-),     (< σχῆμα),     to conform to (Arist.). Pass., to be conformed to, conform oneself to: Ro 12:2, I Pe 1:14.†	【語義】共にうめく：ロマ 8:22。
4929	συντάσσω	3 συν-τάσσω     [in LXX chiefly for צוה pi. ;]     to prescribe, ordain, arrange: c. dat. pers, Mt 21:6 26:19 27:10 (LXX).†	【語義】同じ列に立つ。比喩的に「対応する」：ガラ 4:25。
4930	συντέλεια	6 συντέλεια, -ας, ἡ    (< συντελέω),    [in LXX chiefly for כָּלָה and (in Da) for קֵץ ;]     in cl., a joint payment or contribution for public service; hence, generally, joint action (Plat.).    In late writers (Polyb., al.), consummation, completion: σ. τ. αἰῶνος, -ων (cf. Da LXX TH 12:13, al.), Mt 13:39, 40, 49 24:3 28:20, He 9:26.†	【語義】戦友、共に戦う兵士。比喩的に、キリストへの奉仕における仲間について：ピリ 2:25、ピレ 2。
4931	συντελέω	6 συν-τελέω, -ῶ     [in LXX chiefly for כּלה pi., also for עשׂה, תּמם, etc. ;]      "perfective" of τελέω (cf. M, Pr., 118),    to complete, finish, bring to an end: Lk 4:13; pass., ib. 2, Jo 2:3, WH, mg., Ac 21:27.    to effect, accomplish, bring to fulfilment (cf. MM, xxiv): Mk 13:4, Ro 9:28, He 8:8.†	【語義】（< σχῆμα）合わせる、似せる。受動「（〜に）合わせられる、似た者になる」：ロマ 12:2、ペテ一 1:14。
4932	συντέμνω	1 συν-τέμνω     [in LXX chiefly for חרץ ;]     to cut in pieces.    to cut down, cut short: metaph., λόγον, Ro 9:28 (LXX) (Hdt., Plat., Eur., al.).†	【語義】指示する、命じる、定める：与格人称を伴って：マタ 21:6、26:19、27:10（七十人訳）。
4933	συντηρέω	3 συν-τηρέω, -ῶ     [in LXX: Ez 18:19 (שׁמר), Da TH 7:28 A (נְטַר), Si 13:12 and freq., To 1:11, II Mac 12:42, al. ;]       "perfective" of τηρέω (v. M, Pr., 113, 116),    to preserve, keep safe, keep close: c. acc. pers., Mk 6:20; c. acc. rei, Mt 9:17; ἐν τ. καρδίᾳ, Lk 2:19 (Arist. and later writers; cf. MM, xxiv).†	【語義】（< συντελέω）（古典語で）公共の負担のための共同の支払い、共同の出資；そこから一般に「共同の行為」。（後期の用法で）完成、終結：σ. τ. αἰῶνος（-ων）「世の終わり」：マタ 13:39、40、49、24:3、28:20、ヘブ 9:26。
4934	συντίθημι	3 συν-τίθημι     [in LXX: I Ki 22:13 (קשׁר), etc. ;]    to place or put together, in various senses. Mid.,    to observe, perceive;    to determine, agree, covenant: c. inf., Lk 22:5; seq. τοῦ, c. inf., Ac 23:20; seq. ἵνα, Jo 9:22.†	【語義】（τελέω の強調形）完成する、終える：ルカ 4:13；受動：同 2、使 21:27。成し遂げる、実現する：マコ 13:4、ロマ 9:28、ヘブ 8:8。
4935	συντόμως	2 συν-τόμως,         adv.           (< συντέμνω)    [in LXX: Pr 13:23 (בְּלֹאמׅשְׁפָּט) 23:28,   III Mac 5:25 * ;]     concisely, briefly: Ac 24:4 (for a similar ex., v. MM, xxiv).†	【語義】切り分ける。切り詰める、短くする：比喩的に、λόγον「言葉を縮める」：ロマ 9:28（七十人訳）。
4936	συντρέχω	3 συν-τρέχω     [in LXX: Ps 49 (50):18 (עִם רָצָה), II Mac 2, Jdt 4 * ;]     to run together or with: seq. ἐκεῖ, Mk 6:33; πρόσ, c. acc., Ac 3:11; metaph., I Pe 4:4.†	【語義】（τηρέω の強調形）保ち守る、しっかり保つ：acc. 人称を伴って：マコ 6:20；acc. 物を伴って：マタ 9:17；ἐν τ. καρδίᾳ「心の中に保つ」：ルカ 2:19。
4937	συντρίβω	7 συν-τρίβω     [in LXX chiefly for שׁבר ;]     to shatter, break in pieces: Mt 12:20 (LXX), Mk 5:4 14:3, Jo 19:36 (LXX), Re 2:27; of persons and parts of the body, to break, crush, bruise: Lk 9:39; fig., Ro 16:20.†	【語義】共に置く、まとめる。中間態①気づく、認める；②決める、同意する、約束する：不定詞を伴って：ルカ 22:5；τοῦ＋不定詞を伴って：使 23:20；ἵνα を伴って：ヨハ 9:22。
4938	σύντριμμα	1 σύν-τριμμα, -τος, τό    (< συντρίβω),    [in LXX (Le 21:19, al.) chiefly for שֶׁבֶר; also for שֹׁד (Is 59:7), etc. ;]     a fracture (Arist.; Le, l.c., al.). Metaph., calamity, destruction (Isa, l.c., Wi 3:3, al.): Ro 3:16 (LXX).†	【語義】（< συντέμνω）（副詞）簡潔に、手短に：使 24:4。
4939	σύντροφος	1 σύν-τροφος, -ου, ὁ    (< συντρέφομαι, to be brought up together)    [in LXX: III Ki 12:24, I Mac 1:6 R, II Mac 9:29 * ;]    prop., one nourished or brought up with, a foster-brother: Ac 13:1 EV.    In Hellenistic usage, as a court term, an intimate friend of a king (v. Deiss., BS, 305, 310 f.): Ac 13:1 (cf. also MM, xxiv).†	【語義】共に走る、共に駆け寄る：ἐκεῖ を伴って：マコ 6:33；πρός＋acc. を伴って：使 3:11；比喩的に：ペテ一 4:4。
4940	συντυγχάνω	1 ** συν-τυγχάνω     [in LXX: II Mac 8:14 * ;]     to meet with, fall in with: c. dat. pers., Lk 8:19.†	【語義】打ち砕く、粉々にする：マタ 12:20（七十人訳）、マコ 5:4、14:3、ヨハ 19:36（七十人訳）、黙 2:27；人や体の部分について「砕く、傷つける」：ルカ 9:39；比喩的に：ロマ 16:20。
4941	Συντύχη	1 Συντύχη (T, -τυχή), -ης, ἡ    Syntyche: Phl 4:2.†	【語義】（< συντρίβω）破砕。比喩的に、災い、滅び：ロマ 3:16（七十人訳）。
4942	συνυποκρίνομαι	1 *† συν-υπο-κρίνομαι    to play a part with, dissemble with: c. dat., Ga 2:13 (Polyb.).†	【語義】（< συντρέφομαι「共に育てられる」）（本来）共に育てられた者、乳兄弟。（ヘレニズム期の宮廷用語で）王の側近の友：使 13:1。
4943	συνυπουργέω	1 * συν-υπουργέω, -ῶ    to help together, join in serving: c. dat. instr., II Co 1:11.†	【語義】出会う、行き会う：与格人称を伴って：ルカ 8:19。
4852	σύνφημι	1 * σύν-φημι (Rec. συμ-),    to consent, confess: c. dat., seq. ὅτι, Ro 7:16.†	【人物】スントケ：ピリ 4:2。
4855	συνφύω	1 ** συν-φύω    (Rec. συμ-),    [in LXX: Wi 13:13 * ;]     to cause to grow together. Pass., to grow together or with (Plat. al.): Lk 8:7.†	【語義】共に芝居を演じる、共に偽る：与格を伴って：ガラ 2:13。
4796	συνχαίρω	7 συν-χαίρω    (Rec. συγ-),    [in LXX: Ge 21:6 (צחק), III Mac 1:8 R * ;]     to rejoice with: c. dat pers., Lk 1:58 15:6, 9, Phl 2:17, 18, EV; c. dat. rei, I Co 12:26 13:6.    to congratulate (Æschin., Polyb., al.): Phl, l.c. (Lft., in l.; cf. MM, xxiv).†	【語義】共に助ける、共に力を尽くす：与格手段を伴って：コリ二 1:11。
4797	συνχέω	5 συν-χέω    (Rec. συγ-),    [in LXX for בּלל, רגז, etc. ;]    to pour together, commingle, confuse; metaph., confound, throw into confusion, stir up trouble: Ac 21:27 (cf. συν-χύννω).†	【語義】同意する、認める：与格、ὅτι を伴って：ロマ 7:16。
4798	συνχράομαι	1 **† συν-χράομαι    (Rec. συγ-), -ῶμαι,    [in Al.: I Ki 30:19 * ;]    to use together with. Metaph., c. dat. pers., to associate with: Jo 4:9 (Polyb., al.).†	【語義】共に生じさせる。受動「共に育つ」：ルカ 8:7。
4861	σύνψυχος	1 *† σύν-ψυχος (Rec. συμ-), -ον     (< ψυχή),     of one mind: Phl 2:2.†	【語義】共に喜ぶ：与格人称を伴って：ルカ 1:58、15:6、9、ピリ 2:17、18；与格物を伴って：コリ一 12:26、13:6。祝う、という意味にも解される：ピリ 2:17、18。
4944	συνωδίνω	1 * συν-ωδίνω    to be in travail together (Arist.): metaph. (Eur.), Ro 8:22.†	【語義】共に注ぎ込む、混じり合わせる。比喩的に「混乱させる、騒動を引き起こす」：使 21:27。
4945	συνωμοσία	1 ** συνωμοσία, -ας, ή    (συνόμνυμι, to conspire),    [in Sm.: Ez 22:25 * ;]     a conspiracy: Ac 23:13.†	【語義】共に用いる。比喩的に、与格人称を伴って「つきあう、交わる」：ヨハ 4:9。
4946	Συράκουσαι	1 Συράκουσαι, -ῶν, αἱ    Syracuse: Ac 28:12.†	【語義】（< ψυχή）心を一つにした：ピリ 2:2。
4947	Συρία	8 Συρία, -ας, ή    Syria: Mt 4:24, Lk 2:2, Ac 15:23, 41 18:18 20:3 21:3, Ga 1:21.†	【語義】共に産みの苦しみをする：比喩的に：ロマ 8:22。
4948	Σύρος	1 Σύρος, -ου, ὁ, fem. Σύρα,   a Syrian: Lk 4:27, Mk 7:26, WH, mg.†	【語義】（< συνόμνυμι「共に誓う」）共謀、陰謀：使 23:13。
4949	Συροφοινίκισσα	1 (KJV) Συροφοινίκισσα (Rec. -φοίνισσα), -ης, ἡ    a Syropænician woman: Mk 7:26, WH, txt., RV (cf. ἡ Φοινίκη Συρία, Diod., 19, 93).†	【地名】シラクサ：使 28:12。
4950	Σύρτις	1 Σύρτις (L, σῦρτις), -εως, acc. -ιν, ἡ,    Syrtis, the name of two large sand-banks on the Libyan coast: Ac 27:17.†	【地名】シリア：マタ 4:24、ルカ 2:2、使 15:23、41、18:18、20:3、21:3、ガラ 1:21。
4951	σύρω	5 σύρω     [in LXX: IV Ki 17:13 (סחב), IV Mac 6:1, al. ;]     to draw, drag: c. acc. rei, Jo 21:8, Re 12:4; c. acc. pers., of taking to trial or punish­ment, Ac 8:3; ἔξω τ. πόλεως, Ac 14:19; ἐπὶ τ. πολιτάρχας (cf. IV Mac, l.c.), Ac 17:6 (cf. κατα-σύρω).†	【語義】シリア人（女性形 Σύρα）：ルカ 4:27。
4952	συσπαράσσω	2 *† συ-σπαράσσω    to convulse completely: c. acc. pers., Mk 9:20, Lk 9:42 (cf. σπαράσσω).†	【人物】シリア・フェニキアの女：マコ 7:26。
4953	σύσσημον	1 † σύσ-σημον (T, συν-), -ου, τό     (< σῆμα),    [in LXX: Jg 20:38, 40 (מַשְׂאֵת), Is 5:26 49:22 62:10 (נֵס) * ;]     a fixed sign or signal: Mk 14:44. (Strab., Plut., al.; condemned by Atticists, v. Rutherford, NPhr., 492 f.) †	【地名】スルテス（リビア沿岸の二つの大砂州の名）：使 27:17。
4956	συστατικός	1 * συ-στατικός (Tr. συν-), -ή, -όν     (< συνίστημι),     for putting together, constructive.    for bringing together, introductory, commendatory: ἐπιστολή (Arist., Diog. L., al.; and v. MM, xxiv), II Co 3:1.†	【語義】引く、引きずる：acc. 物を伴って：ヨハ 21:8、黙 12:4；acc. 人称を伴って、裁判や処罰のために引いて行くことについて：使 8:3；ἔξω τ. πόλεως「町の外へ」：使 14:19；ἐπὶ τ. πολιτάρχας「市の高官たちの前に」：使 17:6。
4962	συστρέφω	2 συ-στρέφω     [in LXX chiefly for קשׁר ;]     to twist together: c. acc. rei, Ac 28:3.    Pass., of persons, to gather themselves together: Mt 17:22 (WH, R, mg.).†	【語義】（< σπαράσσω）すっかり痙攣させる：acc. 人称を伴って：マコ 9:20、ルカ 9:42。
4963	συστροφή	2 συ-στροφή, -ῆς, ἡ    (< συστρέφω),    [in LXX: Ho 4:19 13:12 (צרר); σ. ποιεῖσθαι, Am 7:10 (קשׁר), etc. ;]     a twisting together (Plat.).    a concourse, a riotous gathering (Polyb.): Ac 19:40; σ. ποιεῖσθαι (Am, l.c.), to make a compact (RV, banded themselves together): Ac 23:12.†	【語義】（< σῆμα）定められたしるし、合図：マコ 14:44。
4965	Συχάρ	1 Συχάρ    (Ε, Σιχάρ), indecl., ἡ,    Sychar, a town of Samaria: Jo 4:5.†	【語義】（< συνίστημι）組み立てるための、構成的な。引き合わせるための、紹介の：ἐπιστολή「紹介状、推薦状」：コリ二 3:1。
4966	Συχέμ	2 Συχέμ  indecl.  (Heb. שְׁכֶם),    Shechem;      the son of Hamor (Ge 33:19): Ac 7:16 b, Rec.      A city of Samaria (AV, Sychem; in LXX also sometimes Σίκιμα, -ων, as in FlJ): Ac 7:16 a,b.†	【語義】（< σύν、στρέφω）共によじり合わせる：acc. 物を伴って：使 28:3。受動、人について「群がり集まる」：マタ 17:22（異本）。
4967	σφαγή	3 σφαγή, -ῆς, ἡ    (< σφάζω),    [in LXX for טֶבַח, הֲרֵגָה, etc. ;]    slaughter: Ac 8:32 (LXX); πρόβατα σφαγῆς, Ro 8:36 (LXX); ἡμέρα σφαγῆς, Ja 5:5.†	【語義】（< συστρέφω）よじり合わせること。群衆の集まり、騒動：使 19:40；σ. ποιεῖσθαι「共謀して誓い合う」：使 23:12。
4968	σφάγιον	1 σφάγιον, -ου, τό    (< σφαγή),    [in LXX: Am 5:25 (זֶבַח), Ez 21:10, 15, 28 (טֶבַח), Le 22:23 (נְדָבָה) * ;]    a victim for slaughter: Ac 7:42 (LXX).†	【地名】スカル（サマリアの町）：ヨハ 4:5。
4969	σφάζω	10 σφάζω     [in LXX chiefly for שׁחט ;]     to slay, slaughter (esp. of victims for sacrifice): ἀρνίον, Re 5:6, 12 13:8; of persons, I Jn 3:12, Re 5:9 6:4, 9 18:24; ἐσφαγμένη εἰς θάνατον (RV, smitten unto death), Re 13:3 (cf. κατα-σφάζω).†	【人物/地名】シケム：①ハモルの子：使 7:16 後半（異読）。②サマリアの町（七十人訳では Σίκιμα とも表記）：使 7:16 前半・後半。
4970	σφόδρα	11   σφόδρα  adv. (prop. neut. of σφοδρός, excessive, violent)     [in LXX chiefly for מְאֹד ;]     very, very much, exceedingly: with verbs, Mt 17:6, 23 18:31 19:25 26:22 27:54, Ac 6:7; with adjectives, Mt 2:10, Mk 16:4, Lk 18:23, Re 16:21.†	【語義】（< σφάζω）屠殺、虐殺：使 8:32（七十人訳）；πρόβατα σφαγῆς「屠殺のための羊」：ロマ 8:36（七十人訳）；ἡμέρα σφαγῆς「屠殺の日」：ヤコ 5:5。
4971	σφοδρῶς	1 σφοδρῶς      adv.,    exceedingly: Ac 27:18.†	【語義】（< σφαγή）屠殺のいけにえ：使 7:42（七十人訳）。
4972	σφραγίζω	15 σφραγίζω     [in LXX chiefly for חתם (De 32:34, al.), also for סתם (Da TH 8:26) ;]    to seal,    for security: Mt 27:66, Re 20:3; τ. καρπὸν τοῦτον, fig. (cf. Deiss., BS, 238 f.; MM, xxiv; DB, iv, 427a), Ro 15:28;    for concealment, hence, metaph., to hide (Da TH 9:24, Jo 14:17):   Re 10:4 22:10;      for distinction, Re 7:3-8; metaph., Eph 1:13 4:30; mid., II Co 1:22;      for authentication (Es 8:8): Jo 3:33 6:27 (cf. κατα-σφραγίζω).†	【語義】屠る、屠殺する（特にいけにえとして）：ἀρνίον「子羊」：黙 5:6、12、13:8；人について：ヨハ一 3:12、黙 5:9、6:4、9、18:24；ἐσφαγμένη εἰς θάνατον「死に至るまで傷を受けた」：黙 13:3。
4973	σφραγίς	16 σφραγίς, -ῖδος, ἡ     [in LXX: Ex 28:11, al. (חֹתָם) 35:22 (חָח), Si 17:22, al. ;]     a seal, signet: Re 7:2.    The impression of a seal or signet, a seal (on its various purposes, v.s. σφραγίζω): on a book or roll, Re 5:1, 2, 5, 9 6:1, 3, 5, 7, 9, 12 8:1; metaph., Ro 4:11, I Co 9:2, II Ti 2:19, Re 9:4.†	【語義】（σφοδρός「激しい」の中性形を副詞化）非常に、たいへん、きわめて：動詞と共に：マタ 17:6、23、18:31、19:25、26:22、27:54、使 6:7；形容詞と共に：マタ 2:10、マコ 16:4、ルカ 18:23、黙 16:21。
4974	σφυδρόν	1 *† σφυδρόν, -οῦ, τό      = σφυρόν,    the ankle: Ac 3:7 (v. Bl., § 6, 8).†	【語義】（副詞）はげしく、きわめて：使 27:18。
4711	σφυρίς	5 * σφυρίς (T, Rec. σπυρίς, v. WH, App., 148; Bl., § 6, 7), -ίδος, ἡ,    a flexible mat-basket for carrying provisions: Mt 15:37 16:10, Mk 8:8, 20 Ac 9:25 (v.s. κόφινος).†	【語義】（< σφραγίς）封印する：安全のために：マタ 27:66、黙 20:3；τ. καρπὸν τοῦτον「この実を確かなものとして」（比喩的）：ロマ 15:28。隠すために、比喩的に「隠す」：黙 10:4、22:10。区別のために：黙 7:3–8；比喩的に：エペ 1:13、4:30；中間態：コリ二 1:22。確証のために：ヨハ 3:33、6:27。
4975	σχέδον	3 ** σχέδον        adv.       (< ἔχω),    [in LXX: II Mac 5:2, III Mac 5:14, 45 * ;]     of place, near.    Of degree, almost, nearly: Ac 13:44 19:26, He 9:22.†	【語義】印章、印：黙 7:2。印章による刻印、しるしとして：書巻に押された封印について：黙 5:1、2、5、9、6:1、3、5、7、9、12、8:1；比喩的に：ロマ 4:11、コリ一 9:2、テモ二 2:19、黙 9:4。
4976	σχῆμα	2 σχῆμα, -τος, τό    (< ἔχω),    [in LXX: Is 3:17 (פֹּת) * ;]    figure, fashion: I Co 7:31, Phl 2:8.†   SYN.: v.s. μορφή	【語義】＝σφυρόν、くるぶし：使 3:7。
4977	σχίζω	11 σχίζω     [in LXX chiefly for בּקע ;]     to cleave, rend: Mt 27:51, Mk 1:10 15:38, Lk 5:36 23:45, Jo 19:24 21:11; metaph., in pass., to be divided into factions, Ac 14:4 23:7.†	【語義】食料を運ぶための、しなやかな編みかご：マタ 15:37、16:10、マコ 8:8、20、使 9:25。
4978	σχίσμα	8 * σχίσμα, -τος, τό    (< σχίζω),     a rent (Arist., al.): Mt 9:16, Mk 2:21. Metaph., a dissension, division: Jo 7:43 9:16 10:19, I Co 1:10 11:18 12:25.†   SYN.: v.s. αἵρεσις	【語義】（< ἔχω）（副詞）（場所について）近くに；（程度について）ほとんど、おおよそ：使 13:44、19:26、ヘブ 9:22。
4979	σχοινίον	2 σχοινίον, -ου, τό    (dimin. of σχοῖνος, a rush),     [in LXX chiefly for חֶבֶל;]   a rope (prop., one made of rushes): Jo 2:15, Ac 27:32.†	【語義】（< ἔχω）姿、様態、外形：コリ一 7:31、ピリ 2:8。【類義語】μορφή を参照。
4980	σχολάζω	2 σχολάζω    (< σχολή),    [in LXX: Ex 5:8, 17, Ps 45 (46):10 (רפה ni., hi.) * ;]     to be at leisure,  hence, to have time or opportunity for, to devote oneself to, be occupied in: I Co 7:5; of things, to be unoccupied, empty (Plut., Eur., al.): οἶκος, Mt 12:44, Lk 11:25 (T [WH], R, om.).†	【語義】裂く、引き裂く：マタ 27:51、マコ 1:10、15:38、ルカ 5:36、23:45、ヨハ 19:24、21:11。比喩的に、受動「分裂する、党派に分かれる」：使 14:4、23:7。
4981	σχολή	1 σχολή, -ῆς, ἡ     [in LXX: Ge 33:14 (κατὰ σ., לְאִטִּי), Pr 28:19, Si 38:24 * ;]     leisure.      Later (from Plato on),    that for which leisure is employed, a disputation, lecture;    the place where lectures are delivered, a school: Ac 19:9 (for the later sense of employment, v. MM, xxiv).†	【語義】（< σχίζω）裂け目：マタ 9:16、マコ 2:21。比喩的に「不一致、分裂」：ヨハ 7:43、9:16、10:19、コリ一 1:10、11:18、12:25。【類義語】αἵρεσις を参照。
